supply_name,supplier_name,quantity_supplied,hospital_name,weekly_wastage,severity,people_per_week,hashcode
Metronidazole,Gulf Drug,913.0,Saudi German Hospital Dubai,27,3,780,19c8c5ea94690e0755e7ba2bc23182f9
Pulse Oximeter,HealthPro Distributors UAE,2804.0,Saudi German Hospital Dubai,38,4,825,736a2a742c44a9cc8370218bac028e5d
Sterile Gauze,Al Zahrawi Medical,4786.0,Thumbay Hospital Dubai,13,4,649,7a6c3ccf2b6bef312669bf59380d6820
Drip Stand,City Pharmacy Co.,3535.0,Emirates Hospital Dubai,37,3,854,56bf901e6b1b3a0af98c05cfe3c6b5c1
Lisinopril,Paramount Medical Equipment Trading LLC,10632.0,Thumbay Hospital Dubai,41,5,253,5789f866e7ec18b23dc7905dc3481e47
Fluconazole,Paramount Medical Equipment Trading LLC,9954.0,American Hospital Dubai,20,3,306,1f32fd681e18e14aa461df37a32716ee
Pantoprazole,Paramount Medical Equipment Trading LLC,194.0,Saudi German Hospital Dubai,11,3,468,eed4f74be72a6cc7a547b2b82f89f5d8
Surgical Masks,Al Zahrawi Medical,4841.0,Dubai Hospital,13,4,655,f007487c3733150c2e8d4f52711264e7
Salbutamol,Gulf Drug,8020.0,Al Zahra Hospital Dubai,35,3,145,a0744fd65d18ab9c6a9769af8de1446a
Wheelchair,Paramount Medical Equipment Trading LLC,1891.0,Mediclinic City Hospital Dubai,36,2,911,821b09d5595b65ef449142c2cc8ee536
Paracetamol,Al Zahrawi Medical,17930.0,Emirates Hospital Dubai,24,2,154,b8ddf7993882cfbb89fdff0b6ba9729d
Bandage Roll,Kiwi Medical Supplies,5102.0,NMC Royal Hospital Dubai,17,3,368,273436a4ba6fa34c36d9fb95bd3d1b8e
Hand Sanitizer,Babirus LLC,1595.0,Al Zahra Hospital Dubai,12,1,952,f6de79008f6bc48155ac4aa453331bdb
Surgical Masks,Pharma Solutions,3304.0,Emirates Hospital Dubai,28,1,235,f17cf675a66eeea4bd6c0922709a6409
Amoxicillin,Metromed,12447.0,Thumbay Hospital Dubai,26,3,826,28a6149773b3cb1dd3b7c457e6801833
Metronidazole,Babirus LLC,4682.0,Thumbay Hospital Dubai,46,4,209,906d42e1dff1e641c87f8c5157873056
Paracetamol,MPC Healthcare,19278.0,Al Zahra Hospital Dubai,31,3,474,41fcc34bd00f1a1516578f1082242009
Losartan,Metromed,4472.0,Thumbay Hospital Dubai,32,1,347,9fe76ad0e639230a56ef03e3806c9754
Paracetamol,MPC Healthcare,15436.0,Saudi German Hospital Dubai,18,3,834,2f8d38d65ce8cc27bc3a50caeed26401
Ventilator,Planet Distribution,2580.0,American Hospital Dubai,35,3,845,3bdcfe8221ec6df1bfd3149946083e9d
Metronidazole,Al Maqam Medical Supplies LLC,4197.0,Mediclinic City Hospital Dubai,19,2,555,51955d4431ad7d2e6cceb8388f610ef1
Insulin Pen,City Pharmacy Co.,3846.0,American Hospital Dubai,37,2,848,661be2566cb107bc24ca3aef81823fe1
Omeprazole,Gulf Drug,9126.0,Emirates Hospital Dubai,30,4,520,77e7cfb987d476c3638e6e0ee7dcc878
Pantoprazole,HealthPro Distributors UAE,643.0,Mediclinic City Hospital Dubai,39,3,291,4f1136e7d08b21fea0229c9fa4bd404f
Ibuprofen,City Pharmacy Co.,807.0,Dubai Hospital,24,1,469,ab2493fb24722f6b1d4790a1f08e1ab2
Scalpel,Planet Distribution,494.0,Mediclinic City Hospital Dubai,11,3,173,c47c63c4c4623cd83c66f4ba8e0dde3c
Surgical Masks,Al Naghi Medical,3383.0,American Hospital Dubai,22,3,862,15cf362c7b952faf06994f85d8cc724b
Oxygen Cylinder,Planet Distribution,4491.0,Al Zahra Hospital Dubai,41,2,609,b8dab26edecfe0c1dc59eb74b42f8337
Simvastatin,City Pharmacy Co.,6888.0,Mediclinic City Hospital Dubai,44,4,512,177cad5cac49afb14afeeffc4f5aee90
Atorvastatin,Metromed,3649.0,Dubai Hospital,46,3,490,2a5b565c11bf89b989f463af9d303f57
Salbutamol,Babirus LLC,10305.0,Dubai Hospital,26,3,367,fe6921c3e1226ad3e19b5c1b3b6b91c3
Blood Pressure Monitor,Global Med UAE,3052.0,Dubai Hospital,30,4,463,931d60ebfdfa3564ce4b9758d56ed886
Simvastatin,Babirus LLC,10964.0,American Hospital Dubai,40,5,111,96581d218d5d0ed24f15161f2bbb2899
Bandage Roll,Paramount Medical Equipment Trading LLC,2628.0,Mediclinic City Hospital Dubai,41,2,192,1c869a0b3f49edd612c1b2bf5fdd70f6
Wheelchair,MPC Healthcare,3331.0,NMC Royal Hospital Dubai,22,3,122,d9947e1cc27263576160529e9b3f8d9b
Hydrochlorothiazide,Al Zahrawi Medical,8833.0,Al Zahra Hospital Dubai,49,2,905,f4c9b737820bc020c49daf802cc1b817
Paracetamol,Kiwi Medical Supplies,16751.0,Saudi German Hospital Dubai,23,2,138,7c739f78eecbf28909baae1e46da05f6
Metronidazole,Kiwi Medical Supplies,3778.0,Mediclinic City Hospital Dubai,20,3,142,ff8a09aeaeffd2ef06815fc5a85dd94c
Lisinopril,Al Zahrawi Medical,9321.0,Dubai Hospital,23,2,724,1122ff0c82c85ae1f8a74a2a0f9e707b
Disposable Gloves,Babirus LLC,8738.0,NMC Royal Hospital Dubai,32,5,297,674ef248fbaf21d0918936f234a2598e
Amoxicillin,Al Zahrawi Medical,15961.0,Saudi German Hospital Dubai,29,2,251,393a5c379e06c5e0a409f16e2926fcb5
Drip Stand,Paramount Medical Equipment Trading LLC,3673.0,Saudi German Hospital Dubai,26,4,378,9302169a44f4b8ad5bb3e936e7373e8b
Defibrillator,HealthPro Distributors UAE,3844.0,Emirates Hospital Dubai,10,3,800,3262435d329e6907f2de9b1885ba1576
Paracetamol,City Pharmacy Co.,15060.0,Mediclinic City Hospital Dubai,31,3,784,0d5994021fc83490667f5f5fd2075a1c
Surgical Masks,Global Med UAE,3697.0,American Hospital Dubai,15,4,344,6d4b6d0e8f4c6a15a454b54a9ac8a270
Salbutamol,Metromed,8061.0,Mediclinic City Hospital Dubai,29,5,860,926e2b61874a07082b8106c147b63473
IV Bag,HealthPro Distributors UAE,11539.0,NMC Royal Hospital Dubai,10,2,202,6e9df522866451d8e288007eabf46663
Pulse Oximeter,AKI Pharma,2079.0,Saudi German Hospital Dubai,15,3,400,88dfa11b390cf12e843ca796f671b1ee
Scalpel,Global Med UAE,3346.0,Mediclinic City Hospital Dubai,25,3,885,586a147b2eb302d15cf09579f232c614
Amoxicillin,AKI Pharma,16237.0,American Hospital Dubai,31,3,457,5cdfe1322d71386b4b35069e4453dfe0
Ventilator,City Pharmacy Co.,2328.0,Emirates Hospital Dubai,46,3,831,3d956dfb1fdf29f0b0555d1aea8847f3
Paracetamol,Babirus LLC,15892.0,Mediclinic City Hospital Dubai,50,3,597,422b2cc1d17613dc0ea55fcddc446d41
Paracetamol,Al Zahrawi Medical,17000.0,Al Zahra Hospital Dubai,31,2,405,1e777aa163228ae680062bc4787157a4
Surgical Scissors,Al Naghi Medical,252.0,Emirates Hospital Dubai,23,2,274,94075bdd155deb613b503c2268aa81e5
Blood Pressure Monitor,Gulf Drug,3399.0,American Hospital Dubai,33,3,279,e7757d03753607f4832dc2c3a0614896
Salbutamol,Kiwi Medical Supplies,6474.0,NMC Royal Hospital Dubai,35,4,506,549ece594937a0f7232c7fefcd590cb4
Paracetamol,MPC Healthcare,17635.0,Saudi German Hospital Dubai,31,3,908,7a858f0538f8d56aacd5c1c88a243dd7
Pulse Oximeter,Gulf Drug,2962.0,Mediclinic City Hospital Dubai,46,3,504,40ab83184548a313a6bd1a7d220952b9
Defibrillator,Al Naghi Medical,4599.0,American Hospital Dubai,41,5,773,49f093517263705e35d9476ac426fbdb
Insulin Pen,Babirus LLC,5610.0,Emirates Hospital Dubai,48,4,540,bb482712a8e5af27d018ca641fe1603f
ECG Machine,Planet Distribution,2564.0,Al Zahra Hospital Dubai,37,1,609,30889eebe3c61591d9e732f1264de586
Ibuprofen,Al Maqam Medical Supplies LLC,973.0,American Hospital Dubai,50,3,607,a4c52ddb086a6761899d598d6d404747
Pulse Oximeter,Global Med UAE,2210.0,Thumbay Hospital Dubai,11,3,306,6bba7a9db0764ac71c02c5b439ebd57d
Surgical Scissors,Global Med UAE,4735.0,Dubai Hospital,15,1,598,23eb87a1316fdb70083d869604c5a90a
Metformin,AKI Pharma,10174.0,Al Zahra Hospital Dubai,40,3,234,713e994311c61d25c34a5d63bf98dc2a
Doxycycline,Metromed,5043.0,Emirates Hospital Dubai,14,5,640,96314e1850ac64291d045184d08dd534
Losartan,HealthPro Distributors UAE,871.0,NMC Royal Hospital Dubai,34,3,967,b4ea2730ae6a2bf41ace71be8383d4af
Drip Stand,Kiwi Medical Supplies,2378.0,Saudi German Hospital Dubai,26,5,523,2e28afaff30e29a41c4687639e290d95
ECG Machine,Al Zahrawi Medical,3659.0,Emirates Hospital Dubai,34,4,654,579182e6666495e4e6ed7ee6aff67644
Hydrochlorothiazide,Babirus LLC,11212.0,Dubai Hospital,37,3,482,a04820e7a38eef378ee7c8b01d6ea123
Ventilator,MPC Healthcare,2385.0,NMC Royal Hospital Dubai,18,3,347,c65efeebb67be33c0ad1651e3632f94e
Pulse Oximeter,Al Naghi Medical,4424.0,Mediclinic City Hospital Dubai,32,2,232,5fecb3e2c39736cd163ec8deb4fdddad
Sterile Gauze,Global Med UAE,1812.0,American Hospital Dubai,17,1,159,84e8cf984a521d5a1de7a5728f930b9f
Hand Sanitizer,MPC Healthcare,915.0,Thumbay Hospital Dubai,40,3,241,d5e871a37d661145272c676b15b7f484
Defibrillator,Global Med UAE,1007.0,Al Zahra Hospital Dubai,42,2,331,c40d647974ffd5341543aa53f0af3573
Fluconazole,City Pharmacy Co.,9494.0,Al Zahra Hospital Dubai,35,3,353,7459b07fc673b313b08cdc00b00375eb
Oxygen Cylinder,Babirus LLC,4145.0,American Hospital Dubai,13,3,220,4bc68644d6b90cbb84f636b76c480a89
Metformin,Global Med UAE,11270.0,Thumbay Hospital Dubai,19,2,860,6518856c810cee2e50de4a8630ae8a0c
Salbutamol,Al Naghi Medical,6445.0,American Hospital Dubai,48,2,643,f9944bec763363088fbadeaf2ebb1452
Losartan,Global Med UAE,2200.0,Mediclinic City Hospital Dubai,23,1,690,fe127e9666551d28bdaed89ede53d00b
Surgical Scissors,Al Maqam Medical Supplies LLC,481.0,Dubai Hospital,50,3,716,1e1579aec627e475b104360f2ec3f2f2
Fluconazole,Gulf Drug,9860.0,NMC Royal Hospital Dubai,14,1,645,a7828d4fe2dbc2c838f81775043edf68
Ciprofloxacin,Al Maqam Medical Supplies LLC,7782.0,Emirates Hospital Dubai,44,4,124,d7d0cc6604287a97b1074d7fb0f3ceac
Bandage Roll,AKI Pharma,4454.0,Al Zahra Hospital Dubai,14,3,382,d3ae76b0775e2311057092d7bbe78aea
Pantoprazole,HealthPro Distributors UAE,2697.0,Mediclinic City Hospital Dubai,34,2,480,457ff0a6c93a7781d11d2748dd0bf1fe
Doxycycline,Pharma Solutions,8058.0,NMC Royal Hospital Dubai,10,4,635,bce3554ec5bf17d003de310d244191a9
Surgical Masks,Pharma Solutions,4915.0,Mediclinic City Hospital Dubai,14,4,367,b63024ccaed26c282b8a25ee10b2193d
Scalpel,City Pharmacy Co.,3232.0,Thumbay Hospital Dubai,29,2,453,3e0099f5a12bd77279be533eca24f98d
IV Bag,AKI Pharma,12842.0,Al Zahra Hospital Dubai,30,2,858,5af21ae884374be2c1b7ad5cf8309f02
Blood Pressure Monitor,City Pharmacy Co.,2834.0,Emirates Hospital Dubai,18,4,626,da6a414011d995fcb20c06c02e8b1e82
Bandage Roll,Al Maqam Medical Supplies LLC,1252.0,American Hospital Dubai,35,4,165,a64c6851c6906bdd08047479e2762930
Ventilator,Planet Distribution,3507.0,American Hospital Dubai,46,3,270,ffcacd7bbbd821e510ed0243032df0e2
Amoxicillin,Metromed,15842.0,NMC Royal Hospital Dubai,32,4,326,2fcb4f8755d564dd9703f65cc52dc078
Atorvastatin,Paramount Medical Equipment Trading LLC,6999.0,Emirates Hospital Dubai,45,2,880,e9ca9fa71d27192705df3cf234dbb2e6
Hydrochlorothiazide,Kiwi Medical Supplies,12338.0,Dubai Hospital,22,5,631,8f73758dbe450f4a41d49f9b321920a5
Atorvastatin,Babirus LLC,6699.0,Saudi German Hospital Dubai,13,3,756,5b0d77d3acedf3ecfdda219fa57ed0a8
Bandage Roll,Metromed,4911.0,Thumbay Hospital Dubai,37,1,937,a885716e4f8483ae5e6cccec192186cb
Lisinopril,HealthPro Distributors UAE,7971.0,NMC Royal Hospital Dubai,38,4,108,69a5116ba91669a260a8fe02fbf97c19
ECG Machine,Metromed,1019.0,Saudi German Hospital Dubai,33,3,807,f4c96a97bb82ebb1fd08ec5a1c466e19
Losartan,City Pharmacy Co.,4722.0,Mediclinic City Hospital Dubai,15,4,371,4ad0deaa9703a674f75381a64946ca33
Paracetamol,Kiwi Medical Supplies,19382.0,Thumbay Hospital Dubai,47,3,716,828d040110f3bec8689f73a647b964be
Metronidazole,Kiwi Medical Supplies,2794.0,Mediclinic City Hospital Dubai,42,4,890,965eb5a14142734dfa03dbf18ef8a3f2
Aspirin,Al Zahrawi Medical,8338.0,Dubai Hospital,22,2,543,a883c643a386b6ca60dcf74141f15b0c
IV Bag,Gulf Drug,12236.0,Emirates Hospital Dubai,17,1,970,7ebebfd2b5aaa6f943e9542d4ccdf6f3
Hand Sanitizer,Gulf Drug,3040.0,Al Zahra Hospital Dubai,49,2,774,c5ba34ecb6119b0b2ecf8199daa8b52a
Surgical Masks,Babirus LLC,6040.0,Thumbay Hospital Dubai,24,1,115,f1a735c856c064835a134f7f2093f26f
IV Bag,City Pharmacy Co.,11267.0,Saudi German Hospital Dubai,45,5,761,54f2e14576ce773acdb2becd06368fd3
Ciprofloxacin,Metromed,5713.0,Dubai Hospital,41,2,968,e0ec9b6236639914c647e5129becf27b
Syringe Set,Al Maqam Medical Supplies LLC,21365.0,Al Zahra Hospital Dubai,22,3,695,5b12b026508488398efda382fa662c62
Oxygen Cylinder,HealthPro Distributors UAE,3726.0,American Hospital Dubai,22,4,262,1d5683cbe3e04bdd47846660592f5505
IV Bag,MPC Healthcare,14801.0,Saudi German Hospital Dubai,26,2,450,7b4c6bd334aea92a3b82d7ecbad06d5d
Scalpel,HealthPro Distributors UAE,2197.0,NMC Royal Hospital Dubai,39,3,242,e00f6307c1433f81ddb78cb869639dcc
Hand Sanitizer,Planet Distribution,2478.0,American Hospital Dubai,32,2,449,3d014e68049a32daf31dc0bb950f9ec8
Metformin,Planet Distribution,13722.0,Dubai Hospital,41,4,698,57f99035ab50ff34d2290a1aa055231d
ECG Machine,Gulf Drug,3570.0,American Hospital Dubai,39,5,298,dee8f46dfb569f7693fb8b52f0956649
Defibrillator,AKI Pharma,933.0,NMC Royal Hospital Dubai,23,3,495,0ef94269a884d9debce85e175fb1fa1b
Losartan,Al Maqam Medical Supplies LLC,4952.0,Thumbay Hospital Dubai,27,4,569,99756c94f9150970e593f95bd015a4e5
Ciprofloxacin,Al Zahrawi Medical,8722.0,American Hospital Dubai,37,4,973,d971f1c423ceb44c50dac4512075ebdc
Levothyroxine,HealthPro Distributors UAE,8513.0,Emirates Hospital Dubai,33,4,833,35cd7cbc0a3c9b1088a78f5721f32d25
Surgical Masks,Metromed,4413.0,Saudi German Hospital Dubai,44,1,752,d8fdd9a7586cd7b67fa41e7b845b6705
Fluconazole,AKI Pharma,6578.0,Al Zahra Hospital Dubai,46,2,818,6cfbd32f97a368442a872f3f14257154
Syringe Set,Planet Distribution,24375.0,American Hospital Dubai,10,4,402,be6fb8bc784ec34493ef106f2f3a87ac
Sterile Gauze,Global Med UAE,4271.0,Saudi German Hospital Dubai,20,3,630,7412265b63d4c11ab488ae6ad347edc7
Levothyroxine,City Pharmacy Co.,8850.0,Mediclinic City Hospital Dubai,39,1,602,7fc310d673326f7b1c9306c960a7a5bc
Syringe Set,AKI Pharma,20926.0,Saudi German Hospital Dubai,27,1,896,bf0fc5c559e484807534337e7fedec2a
Doxycycline,AKI Pharma,8761.0,Al Zahra Hospital Dubai,44,2,886,ee7298e64714104ce7ddde3c54271d8d
Atorvastatin,Global Med UAE,3065.0,Saudi German Hospital Dubai,16,2,522,2474ada05367d6934d2684bf7f6c7c70
Scalpel,Pharma Solutions,1429.0,NMC Royal Hospital Dubai,15,2,607,419bc2074bcda6ddac33b5c99bca8627
Disposable Gloves,Kiwi Medical Supplies,9511.0,Dubai Hospital,11,2,584,d18503b4e98c6491e395887836b6d6d0
Scalpel,Babirus LLC,2591.0,Al Zahra Hospital Dubai,47,2,497,cabf3ac6fcd65a2e84cbf1ebd8de3cf1
Sterile Gauze,Paramount Medical Equipment Trading LLC,1345.0,Dubai Hospital,44,2,908,767d10ff3136fc57b07c542a0a95f702
Wheelchair,MPC Healthcare,1724.0,Thumbay Hospital Dubai,38,1,524,583cc19c5d3c21dea780ecfa965327ab
Aspirin,City Pharmacy Co.,11535.0,Dubai Hospital,23,5,442,e99b0c95a8f077135d0898c3303eef8a
Oxygen Cylinder,Global Med UAE,2502.0,Mediclinic City Hospital Dubai,16,1,127,f557b5ee0d7839d49b9da08255172503
Doxycycline,Al Maqam Medical Supplies LLC,5355.0,NMC Royal Hospital Dubai,31,5,597,effbea125788800dcfd56efa4bd08496
Doxycycline,City Pharmacy Co.,7707.0,Thumbay Hospital Dubai,27,2,290,c61ecf904dcf5ba0ad22139d26bed124
Omeprazole,Al Zahrawi Medical,11848.0,Saudi German Hospital Dubai,41,2,382,68ca78c76ee878c1c6085aeb0348f530
Fluconazole,Planet Distribution,6853.0,Al Zahra Hospital Dubai,46,4,421,3d86c1d470d45904c6e3792877f69ee7
Prednisolone,AKI Pharma,3683.0,Mediclinic City Hospital Dubai,43,3,644,fde99319605a9615de3747b7cef8ef13
Sterile Gauze,Planet Distribution,1672.0,NMC Royal Hospital Dubai,45,2,589,f088027b0f320020a4e2848964758db3
Metformin,City Pharmacy Co.,14948.0,Thumbay Hospital Dubai,42,5,172,41fdaca095a5fa93cb67013a79d02aff
Hand Sanitizer,City Pharmacy Co.,805.0,Thumbay Hospital Dubai,12,5,295,c97247e20355c8a36fd1bded9d55b78b
Levothyroxine,Metromed,7312.0,Mediclinic City Hospital Dubai,44,2,137,b61e6e6ce4046047dd5be3cc8f60868f
Wheelchair,Metromed,4084.0,Emirates Hospital Dubai,38,3,591,e7b7665b43c83511b2b9234100496039
Salbutamol,Global Med UAE,8638.0,Saudi German Hospital Dubai,12,5,822,e39a23055cc97638f169c5b67b4fcb12
Lisinopril,AKI Pharma,8760.0,Mediclinic City Hospital Dubai,33,3,831,2c8ed3ccdf3b72db17b88119674f726b
Sterile Gauze,Al Zahrawi Medical,177.0,Thumbay Hospital Dubai,37,3,407,3ed4e63a39672ccc41af607bb6f107d7
Simvastatin,Kiwi Medical Supplies,7775.0,American Hospital Dubai,37,4,591,2776e15b3f75d091427a7175ec93aa9e
Hydrochlorothiazide,AKI Pharma,10105.0,NMC Royal Hospital Dubai,43,3,570,6c5af8bfa97a5ec010222ae5e09ddbd7
Oxygen Cylinder,Gulf Drug,1797.0,Mediclinic City Hospital Dubai,32,1,938,c27e0deadf6d780864cdf289105d912f
Amoxicillin,AKI Pharma,13171.0,Emirates Hospital Dubai,18,5,822,5d2c4d7725d6e2100ade7a99653adb02
Insulin Pen,AKI Pharma,4275.0,Thumbay Hospital Dubai,17,3,803,0be48d61f3ad4ed62bb01fbc3bf81fc5
Doxycycline,City Pharmacy Co.,6112.0,Saudi German Hospital Dubai,26,3,624,57ade0ada0a07f997bf7648bdddbb6a5
Pantoprazole,Paramount Medical Equipment Trading LLC,859.0,Dubai Hospital,50,2,816,857f9edf0968a11af9de1a108ae9225d
Aspirin,Kiwi Medical Supplies,11150.0,Thumbay Hospital Dubai,29,5,333,1d4fd86a6e47b51f5e437b706671fdcb
Stethoscope,AKI Pharma,6902.0,Saudi German Hospital Dubai,25,3,709,25bd8fdf843108392d65070870e11e23
Omeprazole,Al Naghi Medical,11463.0,Mediclinic City Hospital Dubai,31,4,338,5e1ff7b5e4c2c50f714818ad7524b1dc
Metronidazole,Global Med UAE,1241.0,Saudi German Hospital Dubai,10,3,250,5414ec869e5ade93ead7d98699768689
Sterile Gauze,Paramount Medical Equipment Trading LLC,1004.0,Al Zahra Hospital Dubai,15,1,362,449269d4c7f1ea0ef8a583d331af9935
Prednisolone,Kiwi Medical Supplies,6341.0,Al Zahra Hospital Dubai,31,4,509,7e3ce2bb920b0f5d0d75d5ac8c142115
Atorvastatin,Al Maqam Medical Supplies LLC,5418.0,Al Zahra Hospital Dubai,48,3,657,e50c831154accc41ff100ef97ae3334d
Stethoscope,Al Naghi Medical,3204.0,Emirates Hospital Dubai,42,2,984,45445f69ee6f56e76e1ad81fc5f86b6b
Azithromycin,Metromed,12333.0,Emirates Hospital Dubai,22,3,227,a3dddba18592bfb831a226973cf0c9f1
Losartan,Pharma Solutions,2144.0,American Hospital Dubai,48,4,984,afeab7bd117cc5fa09ad9391d063dc66
Salbutamol,Paramount Medical Equipment Trading LLC,7822.0,Emirates Hospital Dubai,16,4,553,0c38fa55f356ef6e2f857ddd6ad376a6
Atorvastatin,Al Naghi Medical,7166.0,Dubai Hospital,17,2,211,13d636968a5dcc9f430457356b590f60
Insulin Pen,Global Med UAE,7373.0,Mediclinic City Hospital Dubai,19,3,492,7b60c47d222a3e311e17f6b5deb38f60
Omeprazole,MPC Healthcare,13731.0,Thumbay Hospital Dubai,12,5,140,f9575148853714764914e9ec11c76cd9
Metronidazole,City Pharmacy Co.,1432.0,Thumbay Hospital Dubai,42,2,285,698684f3e07ca648331a4fc9f89055cb
Doxycycline,Kiwi Medical Supplies,7357.0,American Hospital Dubai,33,5,392,38ad25ca889e07edc2b657c767e45f23
Omeprazole,Global Med UAE,12251.0,Emirates Hospital Dubai,35,1,836,1480a174a16a3f579ee864adb3f6c900
Oxygen Cylinder,Al Maqam Medical Supplies LLC,1212.0,Dubai Hospital,29,4,998,e4bd84543efeaba579f8cbf751948b26
Lisinopril,Kiwi Medical Supplies,10464.0,Saudi German Hospital Dubai,13,3,192,3cdd2d4716ecb1ca44d3b621124ce00d
Hand Sanitizer,Al Maqam Medical Supplies LLC,4598.0,American Hospital Dubai,11,3,707,62e2e673bd04ece8e952c7b7c7269f44
Azithromycin,Al Zahrawi Medical,10770.0,Dubai Hospital,36,4,104,6b0ededfe2b67c678c6c1a8673c1e95a
Hydrochlorothiazide,Gulf Drug,11782.0,Saudi German Hospital Dubai,20,3,282,fbb70e4d359301b63a73dcf13d1c2615
Ventilator,Al Zahrawi Medical,3129.0,Dubai Hospital,32,2,679,bfbcf60fe45fbd7d9fb6d99480e0ca27
Prednisolone,Paramount Medical Equipment Trading LLC,4683.0,Saudi German Hospital Dubai,46,4,301,5c48728fa8ff6ac1b69be2102a770211
Atorvastatin,Planet Distribution,7897.0,NMC Royal Hospital Dubai,41,5,123,bfe28ecb951dae70bf97ef7d2bb76206
Stethoscope,Gulf Drug,6632.0,Dubai Hospital,30,3,877,19b770005cf65ce02b315e92791cc2d0
Lisinopril,Kiwi Medical Supplies,9836.0,Thumbay Hospital Dubai,32,4,122,c757870f6af1af0894a96ae24d1e1a08
Ibuprofen,Paramount Medical Equipment Trading LLC,2592.0,Al Zahra Hospital Dubai,23,4,114,52422f1eec2fe10ae8086b736c497e4b
Aspirin,HealthPro Distributors UAE,8215.0,Emirates Hospital Dubai,16,3,819,31cd9ec986e55e6278c64bb544c7ab85
Aspirin,MPC Healthcare,9792.0,Saudi German Hospital Dubai,48,2,898,abb9cb3ab76db08be398381e677c5baa
Aspirin,MPC Healthcare,11825.0,NMC Royal Hospital Dubai,31,2,582,bf3110293fed32e04355f6355088f3ca
Fluconazole,Kiwi Medical Supplies,9803.0,Dubai Hospital,26,4,297,5f9d5f1d79931dc966e96eeabd12d8d3
Sterile Gauze,Global Med UAE,1466.0,Thumbay Hospital Dubai,19,1,338,17339e43d6181024e2aaf53e96f694b8
Wheelchair,Al Maqam Medical Supplies LLC,474.0,Al Zahra Hospital Dubai,37,2,1000,519780b49436bbd34ee237b8c3fb164a
Ventilator,Kiwi Medical Supplies,4581.0,Saudi German Hospital Dubai,26,2,289,edd2fc930c0a01d2d39b8d3a313fe7e6
Wheelchair,Al Maqam Medical Supplies LLC,2683.0,Dubai Hospital,41,3,811,0b1e2c4c54d990dbd0e83944b1cf2d97
Stethoscope,Al Zahrawi Medical,6235.0,Dubai Hospital,14,4,551,552a407f61736f4c5110c1d44147fe33
Fluconazole,Planet Distribution,6556.0,Saudi German Hospital Dubai,48,2,609,2ec0b76312879746f4fdd96a1321fb21
Metformin,Al Naghi Medical,13722.0,American Hospital Dubai,25,4,159,408297264feec0a59981b4cd6b787aa1
Levothyroxine,MPC Healthcare,8831.0,American Hospital Dubai,43,4,936,b7acd52b1bd7a6859615b8b1b5f3917d
Ventilator,Al Maqam Medical Supplies LLC,2263.0,Thumbay Hospital Dubai,42,5,228,1c0a32d42db787a9564f3ea6c68d5d85
Simvastatin,Babirus LLC,8438.0,Al Zahra Hospital Dubai,11,1,777,c6841aaa7a04dd6f54187051570a697b
Lisinopril,Al Naghi Medical,8683.0,Saudi German Hospital Dubai,33,2,359,ca731d47e9436d9ae8cfbf304343fb74
Insulin Pen,Gulf Drug,3151.0,Thumbay Hospital Dubai,48,1,872,d33b06385504168e930c73f938d89421
Oxygen Cylinder,Metromed,3039.0,Thumbay Hospital Dubai,19,3,141,c157b6a6728a49a6e073388ff09eab2d
Losartan,Kiwi Medical Supplies,1896.0,Mediclinic City Hospital Dubai,10,3,910,15cdaec72bb364f65af123b2b640d83b
Blood Pressure Monitor,Gulf Drug,3695.0,Dubai Hospital,22,3,126,95d185fb2c5005051acb4fa1f2f911c1
Drip Stand,Babirus LLC,6302.0,Emirates Hospital Dubai,48,1,241,769da81554c4f5a0b5118b4c85b4c370
Fluconazole,HealthPro Distributors UAE,7766.0,Dubai Hospital,22,2,432,3911fc391c1d94b5f5a1be34c3d653f3
Azithromycin,AKI Pharma,11085.0,American Hospital Dubai,19,1,918,e9b6c15db0795a519477e8ba89fb4eec
Ibuprofen,Pharma Solutions,4641.0,Al Zahra Hospital Dubai,48,3,965,65a42a6a364c47b96d57a91e6c510a53
Surgical Masks,Planet Distribution,3443.0,Dubai Hospital,31,4,786,5f25d3177982f18573c791bb4f2e6694
Simvastatin,MPC Healthcare,11321.0,Saudi German Hospital Dubai,18,5,899,e3b04262e92b05f20327ba57e6307be9
Fluconazole,Al Zahrawi Medical,5886.0,Thumbay Hospital Dubai,12,3,265,10e0abd06bbcac2f122bde7e8e4572b2
Aspirin,Kiwi Medical Supplies,9159.0,Saudi German Hospital Dubai,48,3,940,dd8a3015dc79cd29b13d95bf161ec5aa
Defibrillator,Babirus LLC,2065.0,Mediclinic City Hospital Dubai,26,4,242,ba978ccf6b711b1a85e4e3730b39ff42
Oxygen Cylinder,HealthPro Distributors UAE,4732.0,Al Zahra Hospital Dubai,38,1,216,4cb51c0f80d457354eda62f94194f87b
Doxycycline,Al Naghi Medical,7470.0,Thumbay Hospital Dubai,37,2,964,6f8a204aeece199a31cc3fae7c73e97a
Azithromycin,Al Maqam Medical Supplies LLC,11257.0,Saudi German Hospital Dubai,13,3,913,d4d21b97beb5e5bfa0f824a318a48dd5
Insulin Pen,Al Zahrawi Medical,6596.0,American Hospital Dubai,32,3,959,4e3525835306245b55389f0a892fb14c
Stethoscope,MPC Healthcare,3246.0,Emirates Hospital Dubai,11,3,708,87a9ffc810a8ba5ef0ee0b43925ff882
