id,keyword,location,text,target
5235,cancer,South Africa,Anyone else suffering from cancer lately?,1
5236,flu,USA,"Doctor prescribed me new flu medication, hoping it helps.",1
5237,fitness,Japan,I can't believe I have fitness.,1
5238,fitness,Australia,Finally got medication for my fitness.,1
5239,allergy,UK,"I'm all about that gym life, workouts every day.",0
5240,flu,Japan,"Doctor prescribed me new flu medication, hoping it helps.",1
5241,diabetes,Brazil,I can't believe I have diabetes.,1
5242,medication,Japan,"Had a nice cup of coffee, time to start the day!",0
5243,headache,India,"I've just been diagnosed with headache, looking for support.",1
5244,allergy,India,Getting into the best shape of my life.,0
5245,headache,Germany,I can't believe I have headache.,1
5246,medication,Canada,Just finished a great workout at the gym Feeling energized,0
5247,diabetes,Canada,I've been feeling really sick with diabetes all week. Anyone have any tips?,1
5248,diabetes,Canada,My grandma just passed away from diabetes. RIP,1
5249,asthma,UK,This weather is perfect for a long run.,0
5250,flu,Germany,"This flu is getting worse each day, any suggestions?",1
5251,cold,UK,"Loving the new place I moved into, feels great!",0
5252,asthma,India,"Loving the new place I moved into, feels great!",0
5253,allergy,USA,"Staying consistent with my workouts, it pays off.",0
5254,asthma,Australia,Fitness goals achieved for the day!,0
5255,cancer,Australia,Diagnosed with cancer and really don't know what to do.,1
5256,cancer,South Africa,Anyone else suffering from cancer lately?,1
5257,medication,Brazil,"Just had an amazing run, feeling so fit.",0
5258,diabetes,Germany,I can't believe I have diabetes.,1
5259,diabetes,Australia,"This diabetes is getting worse each day, any suggestions?",1
5260,workout,India,This weather is perfect for a long run.,0
5261,allergy,South Africa,Loving this healthy lifestyle I've been following.,0
5262,cancer,South Africa,"I've just been diagnosed with cancer, looking for support.",1
5263,cancer,UK,Diagnosed with cancer and really don't know what to do.,1
5264,headache,India,Just got diagnosed with headache. Anyone have any advice?,1
5265,asthma,USA,"Just had an amazing run, feeling so fit.",0
5266,fitness,USA,"Ugh, I've had a fitness all day. Anyone know any good remedies?",1
5267,flu,Canada,"I've just been diagnosed with flu, looking for support.",1
5268,allergy,USA,Feeling great after a relaxing yoga session.,0
5269,flu,Canada,Finally got medication for my flu.,1
5270,workout,South Africa,"Fitness is a lifestyle, and I'm fully embracing it.",0
5271,medication,Brazil,Getting into the best shape of my life.,0
5272,diabetes,Canada,Anyone else suffering from diabetes lately?,1
5273,workout,France,I absolutely love my fitness journey so far.,0
5274,fitness,Brazil,I can't believe I have fitness.,1
5275,asthma,Canada,"Just had an amazing run, feeling so fit.",0
5276,allergy,Brazil,"I'm all about that gym life, workouts every day.",0
5277,cancer,Germany,Anyone else suffering from cancer lately?,1
5278,headache,UK,Just got diagnosed with headache. Anyone have any advice?,1
5279,medication,UK,"Staying consistent with my workouts, it pays off.",0
5280,workout,Germany,Enjoying a relaxing day without any worries!,0
5281,asthma,Australia,Fitness goals achieved for the day!,0
5282,flu,Brazil,Finally got medication for my flu.,1
5283,cancer,Japan,Finally got medication for my cancer.,1
5284,asthma,India,This weather is perfect for a long run.,0
5285,asthma,Brazil,"Had a nice cup of coffee, time to start the day!",0
5286,flu,Brazil,"Ugh, I've had a flu all day. Anyone know any good remedies?",1
5287,headache,Germany,Just got diagnosed with headache. Anyone have any advice?,1
5288,fitness,India,"This fitness is getting worse each day, any suggestions?",1
5289,allergy,UK,"Staying consistent with my workouts, it pays off.",0
5290,flu,USA,Having a rough time dealing with flu.,1
5291,headache,Australia,Diagnosed with headache and really don't know what to do.,1
5292,diabetes,Japan,Finally got medication for my diabetes.,1
5293,cancer,Australia,"This cancer is getting worse each day, any suggestions?",1
5294,workout,Australia,I absolutely love my fitness journey so far.,0
5295,diabetes,Japan,"This diabetes is getting worse each day, any suggestions?",1
5296,cold,Canada,Feeling great after a relaxing yoga session.,0
5297,workout,Australia,Feeling great after a relaxing yoga session.,0
5298,headache,Australia,Anyone else suffering from headache lately?,1
5299,fitness,UK,My fitness symptoms are just unbearable.,1
5300,headache,UK,Diagnosed with headache and really don't know what to do.,1
5301,asthma,Brazil,Just finished a great workout at the gym Feeling energized,0
5302,cancer,Japan,My grandma just passed away from cancer. RIP,1
5303,cancer,Brazil,I've been feeling really sick with cancer all week. Anyone have any tips?,1
5304,cold,Brazil,Just finished a great workout at the gym Feeling energized,0
5305,flu,Australia,I've been feeling really sick with flu all week. Anyone have any tips?,1
5306,headache,Canada,Just got diagnosed with headache. Anyone have any advice?,1
5307,workout,Germany,"Had a nice cup of coffee, time to start the day!",0
5308,cancer,India,Finally got medication for my cancer.,1
5309,flu,South Africa,Having a rough time dealing with flu.,1
5310,allergy,Canada,Getting into the best shape of my life.,0
5311,diabetes,UK,Diagnosed with diabetes and really don't know what to do.,1
5312,diabetes,France,Just got diagnosed with diabetes. Anyone have any advice?,1
5313,workout,France,Getting into the best shape of my life.,0
5314,diabetes,USA,Anyone else suffering from diabetes lately?,1
5315,cancer,Japan,Finally got medication for my cancer.,1
5316,asthma,India,"Loving the new place I moved into, feels great!",0
5317,cold,Brazil,I absolutely love my fitness journey so far.,0
5318,cancer,UK,My cancer symptoms are just unbearable.,1
5319,allergy,South Africa,"Just had an amazing run, feeling so fit.",0
5320,asthma,UK,Getting into the best shape of my life.,0
5321,headache,Australia,Finally got medication for my headache.,1
5322,allergy,India,Enjoying a relaxing day without any worries!,0
5323,fitness,Brazil,"This fitness is getting worse each day, any suggestions?",1
5324,flu,Brazil,"I've just been diagnosed with flu, looking for support.",1
5325,cold,South Africa,"Just had an amazing run, feeling so fit.",0
5326,medication,UK,Getting into the best shape of my life.,0
5327,workout,Japan,Fitness goals achieved for the day!,0
5328,diabetes,Canada,Diagnosed with diabetes and really don't know what to do.,1
5329,allergy,Australia,"Had a nice cup of coffee, time to start the day!",0
5330,asthma,UK,"Had a nice cup of coffee, time to start the day!",0
5331,fitness,Germany,Just got diagnosed with fitness. Anyone have any advice?,1
5332,fitness,Germany,Having a rough time dealing with fitness.,1
5333,workout,Brazil,This weather is perfect for a long run.,0
5334,cold,South Africa,Just finished a great workout at the gym Feeling energized,0
5335,fitness,Brazil,I can't believe I have fitness.,1
5336,diabetes,Germany,"I've just been diagnosed with diabetes, looking for support.",1
5337,asthma,Japan,"I'm all about that gym life, workouts every day.",0
5338,diabetes,Japan,"I've just been diagnosed with diabetes, looking for support.",1
5339,medication,Brazil,Feeling great after a relaxing yoga session.,0
5340,workout,Germany,"Loving the new place I moved into, feels great!",0
5341,workout,USA,Just finished a great workout at the gym Feeling energized,0
5342,fitness,Australia,Finally got medication for my fitness.,1
5343,cancer,South Africa,"This cancer is getting worse each day, any suggestions?",1
5344,medication,India,Feeling great after a relaxing yoga session.,0
5345,flu,South Africa,My flu symptoms are just unbearable.,1
5346,diabetes,USA,Having a rough time dealing with diabetes.,1
5347,headache,Canada,My headache symptoms are just unbearable.,1
5348,workout,USA,"Loving the new place I moved into, feels great!",0
5349,allergy,Japan,Fitness goals achieved for the day!,0
5350,cold,Germany,Getting into the best shape of my life.,0
5351,flu,UK,Having a rough time dealing with flu.,1
5352,medication,Germany,"Had a nice cup of coffee, time to start the day!",0
5353,cold,Canada,Just finished a great workout at the gym Feeling energized,0
5354,cancer,France,"This cancer is getting worse each day, any suggestions?",1
5355,cold,UK,Getting into the best shape of my life.,0
5356,fitness,Brazil,Finally got medication for my fitness.,1
5357,fitness,France,"Ugh, I've had a fitness all day. Anyone know any good remedies?",1
5358,diabetes,South Africa,My diabetes symptoms are just unbearable.,1
5359,diabetes,Australia,Anyone else suffering from diabetes lately?,1
5360,headache,South Africa,"I've just been diagnosed with headache, looking for support.",1
5361,asthma,Canada,I absolutely love my fitness journey so far.,0
5362,cold,Brazil,I absolutely love my fitness journey so far.,0
5363,flu,UK,"This flu is getting worse each day, any suggestions?",1
5364,medication,Canada,"I'm all about that gym life, workouts every day.",0
5365,cancer,USA,Does anyone know good treatments for cancer?,1
5366,workout,Australia,Enjoying a relaxing day without any worries!,0
5367,workout,Brazil,Getting into the best shape of my life.,0
5368,medication,France,Just finished a great workout at the gym Feeling energized,0
5369,cold,Australia,Loving this healthy lifestyle I've been following.,0
5370,allergy,Brazil,Feeling great after a relaxing yoga session.,0
5371,cancer,Canada,Finally got medication for my cancer.,1
5372,medication,Japan,Loving this healthy lifestyle I've been following.,0
5373,workout,Canada,Feeling great after a relaxing yoga session.,0
5374,fitness,France,My fitness symptoms are just unbearable.,1
5375,cold,India,This weather is perfect for a long run.,0
5376,asthma,South Africa,Feeling great after a relaxing yoga session.,0
5377,diabetes,Germany,Anyone else suffering from diabetes lately?,1
5378,cold,Japan,Fitness goals achieved for the day!,0
5379,cold,USA,"I'm all about that gym life, workouts every day.",0
5380,flu,Japan,Does anyone know good treatments for flu?,1
5381,diabetes,Canada,Just got diagnosed with diabetes. Anyone have any advice?,1
5382,fitness,Australia,My grandma just passed away from fitness. RIP,1
5383,flu,France,"Ugh, I've had a flu all day. Anyone know any good remedies?",1
5384,cold,Brazil,This weather is perfect for a long run.,0
5385,medication,Brazil,"Staying consistent with my workouts, it pays off.",0
5386,asthma,Brazil,Enjoying a relaxing day without any worries!,0
5387,allergy,USA,This weather is perfect for a long run.,0
5388,allergy,Australia,Fitness goals achieved for the day!,0
5389,flu,UK,Just got diagnosed with flu. Anyone have any advice?,1
5390,flu,UK,Finally got medication for my flu.,1
5391,headache,Japan,Diagnosed with headache and really don't know what to do.,1
5392,cancer,Japan,My cancer symptoms are just unbearable.,1
5393,flu,Canada,I can't believe I have flu.,1
5394,medication,India,"Fitness is a lifestyle, and I'm fully embracing it.",0
5395,medication,Brazil,"I'm all about that gym life, workouts every day.",0
5396,fitness,USA,I've been feeling really sick with fitness all week. Anyone have any tips?,1
5397,workout,South Africa,Fitness goals achieved for the day!,0
5398,cancer,UK,Anyone else suffering from cancer lately?,1
5399,asthma,South Africa,Enjoying a relaxing day without any worries!,0
5400,flu,USA,"I've just been diagnosed with flu, looking for support.",1
5401,workout,USA,Just finished a great workout at the gym Feeling energized,0
5402,flu,France,"I've just been diagnosed with flu, looking for support.",1
5403,flu,Australia,Anyone else suffering from flu lately?,1
5404,medication,France,"Loving the new place I moved into, feels great!",0
5405,flu,Brazil,I can't believe I have flu.,1
5406,cold,India,"Fitness is a lifestyle, and I'm fully embracing it.",0
5407,workout,South Africa,Just finished a great workout at the gym Feeling energized,0
5408,headache,Australia,My headache symptoms are just unbearable.,1
5409,cold,Australia,"Loving the new place I moved into, feels great!",0
5410,cancer,South Africa,My cancer symptoms are just unbearable.,1
5411,asthma,Germany,"Loving the new place I moved into, feels great!",0
5412,asthma,Australia,"Just had an amazing run, feeling so fit.",0
5413,diabetes,Japan,Having a rough time dealing with diabetes.,1
5414,flu,South Africa,Having a rough time dealing with flu.,1
5415,headache,UK,My grandma just passed away from headache. RIP,1
5416,medication,Japan,"Loving the new place I moved into, feels great!",0
5417,headache,India,Finally got medication for my headache.,1
5418,diabetes,Brazil,Anyone else suffering from diabetes lately?,1
5419,allergy,South Africa,I absolutely love my fitness journey so far.,0
5420,medication,South Africa,"Just had an amazing run, feeling so fit.",0
5421,cold,Australia,Getting into the best shape of my life.,0
5422,allergy,Germany,Feeling great after a relaxing yoga session.,0
5423,cancer,India,I can't believe I have cancer.,1
5424,cancer,USA,Just got diagnosed with cancer. Anyone have any advice?,1
5425,allergy,India,"Fitness is a lifestyle, and I'm fully embracing it.",0
5426,workout,South Africa,"Just had an amazing run, feeling so fit.",0
5427,cancer,South Africa,"This cancer is getting worse each day, any suggestions?",1
5428,diabetes,UK,Anyone else suffering from diabetes lately?,1
5429,flu,USA,I can't believe I have flu.,1
5430,cold,USA,Enjoying a relaxing day without any worries!,0
5431,asthma,Australia,"I'm all about that gym life, workouts every day.",0
5432,cold,Australia,"I'm all about that gym life, workouts every day.",0
5433,allergy,UK,"Had a nice cup of coffee, time to start the day!",0
5434,headache,Brazil,"This headache is getting worse each day, any suggestions?",1
5435,workout,South Africa,Just finished a great workout at the gym Feeling energized,0
5436,flu,Germany,I've been feeling really sick with flu all week. Anyone have any tips?,1
5437,workout,Japan,I absolutely love my fitness journey so far.,0
5438,headache,France,"This headache is getting worse each day, any suggestions?",1
5439,cold,Australia,"Had a nice cup of coffee, time to start the day!",0
5440,cancer,Japan,"Doctor prescribed me new cancer medication, hoping it helps.",1
5441,headache,Brazil,Just got diagnosed with headache. Anyone have any advice?,1
5442,flu,India,"Ugh, I've had a flu all day. Anyone know any good remedies?",1
5443,allergy,UK,"Just had an amazing run, feeling so fit.",0
5444,cancer,South Africa,"This cancer is getting worse each day, any suggestions?",1
5445,fitness,Japan,Finally got medication for my fitness.,1
5446,asthma,India,I absolutely love my fitness journey so far.,0
5447,medication,Canada,"Loving the new place I moved into, feels great!",0
5448,diabetes,South Africa,"I've just been diagnosed with diabetes, looking for support.",1
5449,allergy,UK,Enjoying a relaxing day without any worries!,0
5450,allergy,India,This weather is perfect for a long run.,0
5451,workout,Japan,"Had a nice cup of coffee, time to start the day!",0
5452,allergy,South Africa,"Fitness is a lifestyle, and I'm fully embracing it.",0
5453,fitness,Brazil,Just got diagnosed with fitness. Anyone have any advice?,1
5454,fitness,South Africa,Finally got medication for my fitness.,1
5455,headache,South Africa,"This headache is getting worse each day, any suggestions?",1
5456,allergy,UK,Fitness goals achieved for the day!,0
5457,medication,UK,"Had a nice cup of coffee, time to start the day!",0
5458,asthma,Japan,Feeling great after a relaxing yoga session.,0
5459,headache,Canada,Does anyone know good treatments for headache?,1
5460,asthma,UK,Getting into the best shape of my life.,0
5461,cold,Canada,"Fitness is a lifestyle, and I'm fully embracing it.",0
5462,allergy,Canada,Enjoying a relaxing day without any worries!,0
5463,medication,UK,"Had a nice cup of coffee, time to start the day!",0
5464,asthma,India,"Just had an amazing run, feeling so fit.",0
5465,headache,Brazil,Having a rough time dealing with headache.,1
5466,headache,France,"This headache is getting worse each day, any suggestions?",1
5467,workout,India,"Just had an amazing run, feeling so fit.",0
5468,flu,USA,My grandma just passed away from flu. RIP,1
5469,fitness,India,"Doctor prescribed me new fitness medication, hoping it helps.",1
5470,flu,Australia,My grandma just passed away from flu. RIP,1
5471,allergy,India,Loving this healthy lifestyle I've been following.,0
5472,diabetes,UK,"This diabetes is getting worse each day, any suggestions?",1
5473,allergy,South Africa,Getting into the best shape of my life.,0
5474,allergy,India,This weather is perfect for a long run.,0
5475,workout,Brazil,Fitness goals achieved for the day!,0
5476,fitness,France,"Ugh, I've had a fitness all day. Anyone know any good remedies?",1
5477,headache,Germany,"I've just been diagnosed with headache, looking for support.",1
5478,medication,UK,Feeling great after a relaxing yoga session.,0
5479,medication,Australia,"Fitness is a lifestyle, and I'm fully embracing it.",0
5480,asthma,Brazil,"Staying consistent with my workouts, it pays off.",0
5481,headache,South Africa,Having a rough time dealing with headache.,1
5482,flu,Brazil,"Doctor prescribed me new flu medication, hoping it helps.",1
5483,diabetes,Germany,Diagnosed with diabetes and really don't know what to do.,1
5484,asthma,UK,I absolutely love my fitness journey so far.,0
5485,medication,Germany,"Loving the new place I moved into, feels great!",0
5486,asthma,South Africa,Loving this healthy lifestyle I've been following.,0
5487,workout,Canada,Feeling great after a relaxing yoga session.,0
5488,cancer,UK,I can't believe I have cancer.,1
5489,medication,Canada,"Staying consistent with my workouts, it pays off.",0
5490,workout,UK,Enjoying a relaxing day without any worries!,0
5491,cancer,USA,"Doctor prescribed me new cancer medication, hoping it helps.",1
5492,cancer,France,My grandma just passed away from cancer. RIP,1
5493,flu,Germany,"Ugh, I've had a flu all day. Anyone know any good remedies?",1
5494,asthma,USA,Enjoying a relaxing day without any worries!,0
5495,diabetes,South Africa,I can't believe I have diabetes.,1
5496,medication,UK,"Had a nice cup of coffee, time to start the day!",0
5497,cold,India,"Fitness is a lifestyle, and I'm fully embracing it.",0
5498,fitness,Australia,Diagnosed with fitness and really don't know what to do.,1
5499,cold,South Africa,This weather is perfect for a long run.,0
5500,diabetes,UK,My diabetes symptoms are just unbearable.,1
5501,flu,India,Diagnosed with flu and really don't know what to do.,1
5502,workout,USA,Fitness goals achieved for the day!,0
5503,cancer,India,"Ugh, I've had a cancer all day. Anyone know any good remedies?",1
5504,flu,Australia,"I've just been diagnosed with flu, looking for support.",1
5505,headache,France,Having a rough time dealing with headache.,1
5506,headache,South Africa,Just got diagnosed with headache. Anyone have any advice?,1
5507,cancer,Japan,Anyone else suffering from cancer lately?,1
5508,asthma,Brazil,Enjoying a relaxing day without any worries!,0
5509,workout,South Africa,I absolutely love my fitness journey so far.,0
5510,cancer,USA,Having a rough time dealing with cancer.,1
5511,cancer,Australia,"I've just been diagnosed with cancer, looking for support.",1
5512,flu,UK,Finally got medication for my flu.,1
5513,workout,Japan,Fitness goals achieved for the day!,0
5514,cold,Canada,Feeling great after a relaxing yoga session.,0
5515,medication,Canada,Fitness goals achieved for the day!,0
5516,medication,France,I absolutely love my fitness journey so far.,0
5517,diabetes,UK,Does anyone know good treatments for diabetes?,1
5518,diabetes,USA,Finally got medication for my diabetes.,1
5519,flu,USA,"Ugh, I've had a flu all day. Anyone know any good remedies?",1
5520,headache,USA,Does anyone know good treatments for headache?,1
5521,flu,Canada,Finally got medication for my flu.,1
5522,cancer,Brazil,I can't believe I have cancer.,1
5523,medication,Canada,"Fitness is a lifestyle, and I'm fully embracing it.",0
5524,allergy,Brazil,"Just had an amazing run, feeling so fit.",0
5525,fitness,France,Anyone else suffering from fitness lately?,1
5526,allergy,Australia,Fitness goals achieved for the day!,0
5527,allergy,South Africa,Enjoying a relaxing day without any worries!,0
5528,headache,India,Just got diagnosed with headache. Anyone have any advice?,1
5529,flu,USA,"This flu is getting worse each day, any suggestions?",1
5530,cold,USA,"Loving the new place I moved into, feels great!",0
5531,diabetes,UK,I've been feeling really sick with diabetes all week. Anyone have any tips?,1
5532,cancer,South Africa,Just got diagnosed with cancer. Anyone have any advice?,1
5533,asthma,Canada,"I'm all about that gym life, workouts every day.",0
5534,diabetes,Brazil,I've been feeling really sick with diabetes all week. Anyone have any tips?,1
5535,flu,Brazil,My grandma just passed away from flu. RIP,1
5536,cold,UK,"Staying consistent with my workouts, it pays off.",0
5537,workout,Canada,"Fitness is a lifestyle, and I'm fully embracing it.",0
5538,headache,Japan,I can't believe I have headache.,1
5539,diabetes,Australia,My diabetes symptoms are just unbearable.,1
5540,fitness,Australia,"This fitness is getting worse each day, any suggestions?",1
5541,fitness,USA,"Ugh, I've had a fitness all day. Anyone know any good remedies?",1
5542,cold,South Africa,"Had a nice cup of coffee, time to start the day!",0
5543,headache,Brazil,My headache symptoms are just unbearable.,1
5544,asthma,Canada,Just finished a great workout at the gym Feeling energized,0
5545,fitness,Japan,I can't believe I have fitness.,1
5546,cancer,France,Diagnosed with cancer and really don't know what to do.,1
5547,workout,Germany,Feeling great after a relaxing yoga session.,0
5548,headache,Germany,"This headache is getting worse each day, any suggestions?",1
5549,diabetes,Germany,"Ugh, I've had a diabetes all day. Anyone know any good remedies?",1
5550,flu,Australia,"This flu is getting worse each day, any suggestions?",1
5551,medication,South Africa,Just finished a great workout at the gym Feeling energized,0
5552,fitness,Australia,Anyone else suffering from fitness lately?,1
5553,medication,USA,This weather is perfect for a long run.,0
5554,cancer,USA,Anyone else suffering from cancer lately?,1
5555,flu,Germany,I've been feeling really sick with flu all week. Anyone have any tips?,1
5556,medication,Germany,Feeling great after a relaxing yoga session.,0
5557,workout,Canada,"Had a nice cup of coffee, time to start the day!",0
5558,headache,India,"Doctor prescribed me new headache medication, hoping it helps.",1
5559,flu,South Africa,"Ugh, I've had a flu all day. Anyone know any good remedies?",1
5560,cold,Brazil,"Had a nice cup of coffee, time to start the day!",0
5561,fitness,Canada,"I've just been diagnosed with fitness, looking for support.",1
5562,cancer,USA,"Ugh, I've had a cancer all day. Anyone know any good remedies?",1
5563,medication,Brazil,"Loving the new place I moved into, feels great!",0
5564,medication,USA,Enjoying a relaxing day without any worries!,0
5565,workout,Canada,"I'm all about that gym life, workouts every day.",0
5566,headache,Brazil,Finally got medication for my headache.,1
5567,asthma,Japan,Feeling great after a relaxing yoga session.,0
5568,cold,Canada,Fitness goals achieved for the day!,0
5569,fitness,USA,Just got diagnosed with fitness. Anyone have any advice?,1
5570,workout,India,"Fitness is a lifestyle, and I'm fully embracing it.",0
5571,asthma,Germany,Feeling great after a relaxing yoga session.,0
5572,cold,UK,"Staying consistent with my workouts, it pays off.",0
5573,medication,UK,Feeling great after a relaxing yoga session.,0
5574,medication,South Africa,Getting into the best shape of my life.,0
5575,diabetes,UK,"This diabetes is getting worse each day, any suggestions?",1
5576,medication,South Africa,Enjoying a relaxing day without any worries!,0
5577,asthma,Australia,"Had a nice cup of coffee, time to start the day!",0
5578,allergy,Brazil,"Fitness is a lifestyle, and I'm fully embracing it.",0
5579,fitness,Brazil,Just got diagnosed with fitness. Anyone have any advice?,1
5580,workout,South Africa,Fitness goals achieved for the day!,0
5581,medication,USA,Loving this healthy lifestyle I've been following.,0
5582,cancer,India,Does anyone know good treatments for cancer?,1
5583,headache,Brazil,"Doctor prescribed me new headache medication, hoping it helps.",1
5584,cold,USA,"Loving the new place I moved into, feels great!",0
5585,cold,Canada,Enjoying a relaxing day without any worries!,0
5586,medication,Germany,Just finished a great workout at the gym Feeling energized,0
5587,diabetes,India,Does anyone know good treatments for diabetes?,1
5588,medication,UK,"Loving the new place I moved into, feels great!",0
5589,cancer,South Africa,Just got diagnosed with cancer. Anyone have any advice?,1
5590,asthma,Germany,Enjoying a relaxing day without any worries!,0
5591,flu,France,Anyone else suffering from flu lately?,1
5592,cold,Japan,This weather is perfect for a long run.,0
5593,cancer,South Africa,I can't believe I have cancer.,1
5594,fitness,Australia,I can't believe I have fitness.,1
5595,headache,Germany,Finally got medication for my headache.,1
5596,workout,Canada,Just finished a great workout at the gym Feeling energized,0
5597,headache,South Africa,I've been feeling really sick with headache all week. Anyone have any tips?,1
5598,allergy,India,"Just had an amazing run, feeling so fit.",0
5599,medication,South Africa,"Had a nice cup of coffee, time to start the day!",0
5600,diabetes,Australia,I've been feeling really sick with diabetes all week. Anyone have any tips?,1
5601,workout,Japan,Loving this healthy lifestyle I've been following.,0
5602,headache,South Africa,Anyone else suffering from headache lately?,1
5603,medication,USA,"Staying consistent with my workouts, it pays off.",0
5604,headache,Japan,"Ugh, I've had a headache all day. Anyone know any good remedies?",1
5605,cancer,Germany,Having a rough time dealing with cancer.,1
5606,cold,Japan,Feeling great after a relaxing yoga session.,0
5607,cancer,Brazil,My grandma just passed away from cancer. RIP,1
5608,fitness,USA,Just got diagnosed with fitness. Anyone have any advice?,1
5609,workout,South Africa,I absolutely love my fitness journey so far.,0
5610,medication,Germany,"Just had an amazing run, feeling so fit.",0
5611,flu,India,"This flu is getting worse each day, any suggestions?",1
5612,diabetes,Australia,Just got diagnosed with diabetes. Anyone have any advice?,1
5613,flu,UK,"This flu is getting worse each day, any suggestions?",1
5614,cold,UK,Getting into the best shape of my life.,0
5615,workout,South Africa,Loving this healthy lifestyle I've been following.,0
5616,cancer,Germany,Diagnosed with cancer and really don't know what to do.,1
5617,medication,USA,"Fitness is a lifestyle, and I'm fully embracing it.",0
5618,headache,France,My grandma just passed away from headache. RIP,1
5619,asthma,France,"I'm all about that gym life, workouts every day.",0
5620,fitness,France,I've been feeling really sick with fitness all week. Anyone have any tips?,1
5621,flu,USA,"I've just been diagnosed with flu, looking for support.",1
5622,cancer,USA,Does anyone know good treatments for cancer?,1
5623,flu,India,My grandma just passed away from flu. RIP,1
5624,cold,UK,"Fitness is a lifestyle, and I'm fully embracing it.",0
5625,headache,Canada,"Ugh, I've had a headache all day. Anyone know any good remedies?",1
5626,cancer,Brazil,Anyone else suffering from cancer lately?,1
5627,cancer,Germany,"Ugh, I've had a cancer all day. Anyone know any good remedies?",1
5628,flu,Brazil,"Ugh, I've had a flu all day. Anyone know any good remedies?",1
5629,fitness,Australia,"I've just been diagnosed with fitness, looking for support.",1
5630,flu,USA,Does anyone know good treatments for flu?,1
5631,flu,Canada,"Doctor prescribed me new flu medication, hoping it helps.",1
5632,workout,Japan,Getting into the best shape of my life.,0
5633,diabetes,Canada,Diagnosed with diabetes and really don't know what to do.,1
5634,asthma,France,Just finished a great workout at the gym Feeling energized,0
5635,headache,UK,Finally got medication for my headache.,1
5636,allergy,Germany,Feeling great after a relaxing yoga session.,0
5637,cold,France,"Staying consistent with my workouts, it pays off.",0
5638,asthma,Canada,"Had a nice cup of coffee, time to start the day!",0
5639,medication,South Africa,"Loving the new place I moved into, feels great!",0
5640,allergy,Germany,This weather is perfect for a long run.,0
5641,workout,South Africa,"I'm all about that gym life, workouts every day.",0
5642,flu,Germany,Does anyone know good treatments for flu?,1
5643,medication,UK,Feeling great after a relaxing yoga session.,0
5644,diabetes,Brazil,Diagnosed with diabetes and really don't know what to do.,1
5645,cancer,UK,"I've just been diagnosed with cancer, looking for support.",1
5646,workout,Japan,This weather is perfect for a long run.,0
5647,headache,Germany,Diagnosed with headache and really don't know what to do.,1
5648,medication,Japan,Enjoying a relaxing day without any worries!,0
5649,cold,Germany,"Loving the new place I moved into, feels great!",0
5650,cold,Canada,"I'm all about that gym life, workouts every day.",0
5651,asthma,India,Loving this healthy lifestyle I've been following.,0
5652,cold,UK,I absolutely love my fitness journey so far.,0
5653,flu,Brazil,Does anyone know good treatments for flu?,1
5654,diabetes,UK,Just got diagnosed with diabetes. Anyone have any advice?,1
5655,allergy,South Africa,Enjoying a relaxing day without any worries!,0
5656,medication,France,"I'm all about that gym life, workouts every day.",0
5657,workout,Germany,"Just had an amazing run, feeling so fit.",0
5658,allergy,Germany,"Staying consistent with my workouts, it pays off.",0
5659,allergy,Canada,"Loving the new place I moved into, feels great!",0
5660,headache,USA,"Ugh, I've had a headache all day. Anyone know any good remedies?",1
5661,cold,Japan,Fitness goals achieved for the day!,0
5662,diabetes,India,Finally got medication for my diabetes.,1
5663,diabetes,India,I've been feeling really sick with diabetes all week. Anyone have any tips?,1
5664,cancer,India,Just got diagnosed with cancer. Anyone have any advice?,1
5665,flu,USA,"This flu is getting worse each day, any suggestions?",1
5666,fitness,Japan,Does anyone know good treatments for fitness?,1
5667,cancer,Canada,"I've just been diagnosed with cancer, looking for support.",1
5668,fitness,Australia,"I've just been diagnosed with fitness, looking for support.",1
5669,medication,Australia,This weather is perfect for a long run.,0
5670,medication,UK,Enjoying a relaxing day without any worries!,0
5671,headache,USA,My grandma just passed away from headache. RIP,1
5672,workout,India,"Loving the new place I moved into, feels great!",0
5673,headache,France,"Ugh, I've had a headache all day. Anyone know any good remedies?",1
5674,asthma,UK,"Loving the new place I moved into, feels great!",0
5675,medication,USA,"Fitness is a lifestyle, and I'm fully embracing it.",0
5676,headache,UK,"This headache is getting worse each day, any suggestions?",1
5677,headache,South Africa,Diagnosed with headache and really don't know what to do.,1
5678,flu,Australia,My flu symptoms are just unbearable.,1
5679,headache,South Africa,I've been feeling really sick with headache all week. Anyone have any tips?,1
5680,medication,Japan,"Loving the new place I moved into, feels great!",0
5681,asthma,Brazil,Getting into the best shape of my life.,0
5682,cold,Germany,Enjoying a relaxing day without any worries!,0
5683,asthma,Brazil,"Fitness is a lifestyle, and I'm fully embracing it.",0
5684,diabetes,Japan,"Doctor prescribed me new diabetes medication, hoping it helps.",1
5685,cancer,India,Just got diagnosed with cancer. Anyone have any advice?,1
5686,cancer,Japan,Having a rough time dealing with cancer.,1
5687,cancer,Australia,"Doctor prescribed me new cancer medication, hoping it helps.",1
5688,medication,Germany,"Just had an amazing run, feeling so fit.",0
5689,medication,India,Enjoying a relaxing day without any worries!,0
5690,flu,Germany,Diagnosed with flu and really don't know what to do.,1
5691,headache,USA,Diagnosed with headache and really don't know what to do.,1
5692,cancer,France,"This cancer is getting worse each day, any suggestions?",1
5693,medication,Japan,Feeling great after a relaxing yoga session.,0
